NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF,bairro,região
DIRCE SALONI PIRES PROFA EMEI,3,VILA PAIVA,133.0,VILA PAIVA,Norte
DOMINGOS DE MACEDO CUSTODIO PROF EMEI,3,VILA TESOURO,359.0,VILA TESOURO,Leste
ELZA MARIA DIAS MENDONCA PROFA EMEI,3,MONTE CASTELO,231.0,MONTE CASTELO,Centro
MARIA ALICE PASQUARELLI PROFA EMEI,3,JARDIM COPACABANA,538.0,JARDIM COPACABANA,Leste
SONIA MARA RAMOS PROFA EMEI,3,VILA SAO PEDRO,123.0,VILA SAO PEDRO,Centro
JOAO MARCONDES GUIMARAES PADRE EMEI,3,BOSQUE DOS EUCALIPTOS,405.0,BOSQUE DOS EUCALIPTOS,Sul
MONTEIRO LOBATO EEIFM,4,JARDIM DAS COLINAS,154.0,JARDIM DAS COLINAS,Oeste
FRANCISCANO NOSSA SENHORA APARECIDA COLEGIO,4,CENTRO,75.0,CENTRO,Centro
INSTITUTO SAO JOSE,4,JD ESPLANADA,139.0,,Centro
WALTER FORTUNATO ESCOLA,4,CIDADE VISTA VERDE,79.0,CIDADE VISTA VERDE,Leste
NATURAL VIVENCIA ESCOLA DE EI E EF,4,URBANOVA,20.0,URBANOVA,Oeste
DENTE DE LEITE CCI,2,JARDIM SAO DIMAS,5.0,JARDIM SAO DIMAS,Centro
CENTRO EDUCACIONAL OBJETIVO UNIDADE AQUARIUS,4,JARDIM SERIMBURA,64.0,,Oeste
COLEGIO SALONI,4,VILA EMA,50.0,VILA EMA,Centro
COLEGIO MATER DEI,4,URBANOVA,188.0,URBANOVA,Oeste
COLEGIO OBJETIVO ESPLANADA,4,JARDIM ESPLANADA,32.0,JARDIM ESPLANADA,Centro
ADVENTISTA DE SAO JOSE DOS CAMPOS COLEGIO,4,BOSQUE EUCALIPTOS,121.0,,Sul
ESCOLA CRISTA BATISTA REGULAR,4,BOSQUE DOS EUCALIPTOS,36.0,BOSQUE DOS EUCALIPTOS,Sul
CASSIANO RICARDO COLEGIO EIEEF,4,JARDIM DAS INDUSTRIAS,40.0,JARDIM DAS INDUSTRIAS,Oeste
INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM,4,VILA ADYANA,48.0,,Centro
EMAK ESCOLA EMANUEL KANT,4,CIDADE VISTA VERDE,26.0,CIDADE VISTA VERDE,Leste
TEOFILO REZENDE COLEGIO,4,FLORADAS DE SAO JOSE,93.0,FLORADAS DE SAO JOSE,Sul
COLEGIO JOSEENSE,4,RESIDENCIAL SOL NASCENTE,40.0,,Sul
COLEGIO EVOLUCAO ED INFANTIL E ENS FUNDAMENTAL,4,PRQ INDUSTRIAL,15.0,,Sul
ANCHIETA COLEGIO,4,JARDIM ORIENTE,4.0,,Sul
LUCE PRIMA COLEGIO,4,FLORADAS DE SAO JOSE,37.0,FLORADAS DE SAO JOSE,Sul
CRESCERESPACO DE CRESCIMENTO E APERFEICOAMENTO PSICOPEDAGOGICO,4,VILA BELA VISTA,8.0,,Centro
RIBEIRO GOULART INSTITUTO DE EDUC ESC MAXIMUS,4,JARDIM ORIENTE,32.0,,Sul
JULIO MARIA PADRE ESCOLA DE EDUCACAO INFANTIL,4,VILA ALEXANDRINA,15.0,VILA ALEXANDRINA,Norte
JARDIM ENCANTADO CENTRO DE CONVIVENCIA INFANTIL E EF,4,VISTA VERDE,17.0,,Leste
DOM BOSCO COLEGIO,4,JARDIM ESPLANADA,23.0,JARDIM ESPLANADA,Centro
MARTIM DE SA CENTRO DE EDUCACAO INFANTIL,4,JARDIM SATELITE,16.0,JARDIM SATELITE,Sul
VICTOR MARTINS RODRIGUES IEIEF,4,JARDIM ISMENIA,44.0,JARDIM ISMENIA,Leste
MONTE CASTELO INSTITUTO EDUCACIONAL,4,MONTE CASTELO,30.0,MONTE CASTELO,Centro
MARIA DAS DORES ESCOLA DE EDUCACAO INFANTIL,4,JARDIM AMERICA,25.0,JARDIM AMERICA,Sul
ESPACO NATURAL BERCARIO E EDUCACAO INFANTIL,4,JARDIM SAO DIMAS,41.0,JARDIM SAO DIMAS,Centro
PROSSEGUIR COLEGIO,4,JARDIM SATELITE,48.0,JARDIM SATELITE,Sul
CONSTRUIR CENTRO EDUCACIONAL,4,JARDIM DAS INDUSTRIAS,107.0,JARDIM DAS INDUSTRIAS,Oeste
COLEGIO JOSEENSE UNIDADE II,4,CHACARAS SAO JOSE,100.0,CHACARAS SAO JOSE,Sudeste
AVANTI BERCARIO E EDUCACAO INFANTIL,4,JARDIM NOVA AMERICA,28.0,JARDIM NOVA AMERICA,Centro
CIRANDINHA ESCOLA INFANTIL,4,JARDIM AMERICA,87.0,JARDIM AMERICA,Sul
DESPERTAR ESCOLA DE EDUCACAO INFANTIL E FUNDDAMENTAL,4,JARDIM ISMENIA,82.0,JARDIM ISMENIA,Leste
BLIM BLAM INSTITUTO RECREATIVO,4,JARDIM OSWALDO CRUZ,34.0,,Centro
CELIO LEMOS CECOI,4,MONTE CASTELO,313.0,MONTE CASTELO,Centro
SPHERE INTERNATIONAL SCHOOL,4,SERIMBURA,95.0,SERIMBURA,Centro
FUTURA GERACAO COLEGIO,4,URBANOVA,5.0,URBANOVA,Oeste
LADIEL BENEDITO DE CARVALHO PROF EMEI,3,PARQUE INTERLAGOS,547.0,PARQUE INTERLAGOS,Sul
BENEDITO CARVALHO DOS SANTOS EMEI,3,VILA MARIA,192.0,VILA MARIA,Centro
LUIZ SUNDFELD PROF EMEI,3,CONJUNTO RESIDENCIAL GALO BRANCO,442.0,,Leste
JESUS DE NAZARE EMEI,3,VILA SAO BENTO,154.0,VILA SAO BENTO,Sul
ARTUR APARECIDO DA ROSA EMEI,3,JARDIM SAO JUDAS TADEU,329.0,,Sudeste
PLANETARIO ESCOLA DE EDUCACAO INFANTIL,4,JARDIM NOVA AMERICA,36.0,JARDIM NOVA AMERICA,Centro
CATAVENTO COLEGIO,4,BOSQUE DOS EUCALIPTOS,41.0,BOSQUE DOS EUCALIPTOS,Sul
INOVANDO O APRENDIZADO INSTITUTO DE DESENVOLVIME EDUC IDEIA,4,BOSQUE DOS EUCALIPTOS,24.0,BOSQUE DOS EUCALIPTOS,Sul
ESPACO DO SABER ESCOLA DE EDUCACAO INFANTIL E BERCARIO,4,JARDIM DAS INDUSTRIAS,165.0,JARDIM DAS INDUSTRIAS,Oeste
ESTRELINHA MAGICA ESCOLA DE EDUCACAO INFANTIL,4,PARQUE INDUSTRIAL,16.0,PARQUE INDUSTRIAL,Sul
CIRANDA DO SABER,4,JARDIM DAS INDUSTRIAS,24.0,JARDIM DAS INDUSTRIAS,Oeste
MARIO DONIZETE BORGES CEDIN,4,JARDIM SAO JOSE II,235.0,,Leste
ASTER COLEGIO,4,JARDIM DA GRANJA,64.0,JARDIM DA GRANJA,Sudeste
IRMAS CARMELITAS CECOI,4,VILA SAO GERALDO,100.0,VILA SAO GERALDO,Norte
EDEN LAR DAS CRIANCAS II JARDIM SATELITE CECOI,4,JARDIM SATELITE,110.0,JARDIM SATELITE,Sul
COC SJC UNIDADE SUL,4,RESIDENCIAL UNIAO,83.0,,Sul
EDEN LAR DAS CRIANCAS I VILA MARIA CECOI,4,VILA MARIA,232.0,VILA MARIA,Centro
PAULO CESAR DOS SANTOS MORTARI PROF CEDIN,4,CAMPO DOS ALEMAES,816.0,CAMPO DOS ALEMAES,Sul
JOSE MADUREIRA LEBRAO EMEI,3,JARDIM MARIANA II,528.0,JARDIM MARIANA II,Leste
ROSALIA JOANA SCHEID CECOI,4,BOSQUE DOS EUCALIPTOS,86.0,BOSQUE DOS EUCALIPTOS,Sul
JANE PALUMBO PROFA EMEI,3,CONJUNTO RESIDENCIAL DOM PEDRO I,660.0,,Sul
EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO PROFA EMEI,3,JARDIM PARAISO DO SOL,452.0,JARDIM PARAISO DO SOL,Leste
JOSE SODERO BITENCOURT PROF EMEI,3,RESIDENCIAL BOSQUE DOS IPES,430.0,,Sul
METAMORFOSE ESCOLA INFANTIL,4,VILA EMA,38.0,VILA EMA,Centro
ARCO IRIS CENTRO EDUCACIONAL,4,RESIDENCIAL JATOBA,57.0,,Sudeste
CICLO COLEGIO,4,CONJUNTO RESIDENCIAL VALE DOS PINHEIROS,195.0,,Centro
FAVO DE MEL ESCOLA DE EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,23.0,JARDIM DAS INDUSTRIAS,Oeste
MOPPE II ESCOLA,4,URBANOVA,160.0,URBANOVA,Oeste
LOURDES DE OLIVEIRA MENDES PROFA EMEI,3,JARDIM PARARANGABA,311.0,,Leste
OPCAO KIDS ESCOLA,4,JARDIM ESPLANADA,253.0,JARDIM ESPLANADA,Centro
MARIA APARECIDA BARBOZA PEDROZA CEDIN,4,JARDIM TELESPARK,522.0,JARDIM TELESPARK,Norte
AMALIA BONDESAN DOS SANTOS CEDIN,4,EUGENIO DE MELLO,312.0,,Leste
SANTO ANTONIO SANT ANNA GALVAO CEDIN,4,PARQUE RESIDENCIAL FLAMBOYANT,476.0,,Sudeste
BERCARIO E EDUCACAO INFANTIL ECCOS,4,JARDIM AMERICA,84.0,JARDIM AMERICA,Sul
VERA MAGALDI CENTRO EDUCACIONAL,4,JARDIM SATELITE,43.0,JARDIM SATELITE,Sul
BBKIDS ESCOLA,4,JARDIM PORTUGAL,38.0,JARDIM PORTUGAL,Sul
JARDIM CASTANHEIRA CENTRO DE EDUCACAO INFANTIL,4,JARDIM CASTANHEIRA,534.0,,Leste
BAIRRO DOS FREITAS NEI DO,3,FREITAS,54.0,,Norte
ZILDA ARNS NEUMANN DRA CEDIN,4,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,317.0,,Sul
AZIMUTE CENTRO EDUCACIONAL,4,BOSQUE DOS EUCALIPTOS,59.0,BOSQUE DOS EUCALIPTOS,Sul
DELZA GIOVANELLI FONSECA DA MATA PROFA CEDIN,4,JARDIM SANTA INES III,349.0,JARDIM SANTA INES III,Leste
SER VIVER E APRENDER CENTRO EDUCACIONAL,4,JARDIM DAS INDUSTRIAS,33.0,JARDIM DAS INDUSTRIAS,Oeste
CENTRO EDUCACIONAL TRANSFORMAR,4,JARDIM DAS INDUSTRIAS,118.0,JARDIM DAS INDUSTRIAS,Oeste
A MAGIA DO PENSAR ESCOLA DE EDUCACAO INFANTIL,4,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,5.0,,Sul
VALERIA APARECIDA DE ALMEIDA VASCONCELOS PROFA EMEI,3,RESIDENCIAL GAZZO,592.0,,Sul
MARECHAL DO AR CASIMIRO MONTENEGRO FILHO ESCOLA,1,VILA DAS ACACIAS,193.0,VILA DAS ACACIAS,Sul
LUCIA MARIA DO AMARAL PROFESSORA EMEI,3,JARDIM SANTA LUZIA,442.0,JARDIM SANTA LUZIA,Sudeste
JARDIM DOS SONHOS CENTRO DE EDUCACAO INFANTIL,4,CIDADE MORUMBI,26.0,CIDADE MORUMBI,Sul
ANGELICA BABY BERCARIO E EDUCACAO INFANTIL,4,PARQUE INDUSTRIAL,24.0,PARQUE INDUSTRIAL,Sul
PETUTTY EDUCACAO INFANTIL,4,JARDIM PAULISTA,19.0,,Centro
ALPHA LUMEN INSTITUTO,4,JARDIM ESPLANADA II,24.0,JARDIM ESPLANADA II,Centro
MAPLE BEAR CANADIAN SCHOOL SJCAMPOS,4,URBANOVA,110.0,URBANOVA,Oeste
HELENA VAZ DE LIMA SOLIVA PROFA EMEI,3,JARDIM SAO DIMAS,239.0,JARDIM SAO DIMAS,Centro
CONSTRUINDO O FUTURO CENTRO EDUCACIONAL,4,VILA INDUSTRIAL,20.0,VILA INDUSTRIAL,Leste
PRIMEIROS PASSOS ESCOLA DE EDUCACAO INFANTIL,4,BOSQUE DOS EUCALIPTOS,3.0,BOSQUE DOS EUCALIPTOS,Sul
PRIMEIROS PASSOS ESCOLA DE EDUCACAO INFANTIL,4,CIDADE MORUMBI,7.0,CIDADE MORUMBI,Sul
ELEMENTAR INSTITUTO EDUCACIONAL,4,JARDIM SATELITE,14.0,JARDIM SATELITE,Sul
EDUCA BABY E KIDS ESCOLA DE EDUCACAO INFANTIL,4,SANTANA,50.0,SANTANA,Norte
PRESBITERIANA ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL,4,JARDIM SAO VICENTE,11.0,JARDIM SAO VICENTE,Leste
QUERUBIM ESCOLA BERCARIO E EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,40.0,JARDIM DAS INDUSTRIAS,Oeste
NOSSA ESCOLA,4,CENTRO,16.0,CENTRO,Centro
NOSSA SENHORA APARECIDA CECOI,4,CENTRO,179.0,CENTRO,Centro
