NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF
JOSE SODERO BITENCOURT PROF EMEI,3,RESIDENCIAL BOSQUE DOS IPES,430.0
METAMORFOSE ESCOLA INFANTIL,4,VILA EMA,38.0
ARCO IRIS CENTRO EDUCACIONAL,4,RESIDENCIAL JATOBA,57.0
CICLO COLEGIO,4,CONJUNTO RESIDENCIAL VALE DOS PINHEIROS,195.0
FAVO DE MEL ESCOLA DE EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,23.0
MOPPE II ESCOLA,4,URBANOVA,160.0
LOURDES DE OLIVEIRA MENDES PROFA EMEI,3,JARDIM PARARANGABA,311.0
OPCAO KIDS ESCOLA,4,JARDIM ESPLANADA,253.0
MARIA APARECIDA BARBOZA PEDROZA CEDIN,4,JARDIM TELESPARK,522.0
AMALIA BONDESAN DOS SANTOS CEDIN,4,EUGENIO DE MELLO,312.0
SANTO ANTONIO SANT ANNA GALVAO CEDIN,4,PARQUE RESIDENCIAL FLAMBOYANT,476.0
BERCARIO E EDUCACAO INFANTIL ECCOS,4,JARDIM AMERICA,84.0
VERA MAGALDI CENTRO EDUCACIONAL,4,JARDIM SATELITE,43.0
BBKIDS ESCOLA,4,JARDIM PORTUGAL,38.0
JARDIM CASTANHEIRA CENTRO DE EDUCACAO INFANTIL,4,JARDIM CASTANHEIRA,534.0
BAIRRO DOS FREITAS NEI DO,3,FREITAS,54.0
ZILDA ARNS NEUMANN DRA CEDIN,4,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,317.0
AZIMUTE CENTRO EDUCACIONAL,4,BOSQUE DOS EUCALIPTOS,59.0
DELZA GIOVANELLI FONSECA DA MATA PROFA CEDIN,4,JARDIM SANTA INES III,349.0
SER VIVER E APRENDER CENTRO EDUCACIONAL,4,JARDIM DAS INDUSTRIAS,33.0
CENTRO EDUCACIONAL TRANSFORMAR,4,JARDIM DAS INDUSTRIAS,118.0
A MAGIA DO PENSAR ESCOLA DE EDUCACAO INFANTIL,4,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,5.0
VALERIA APARECIDA DE ALMEIDA VASCONCELOS PROFA EMEI,3,RESIDENCIAL GAZZO,592.0
MARECHAL DO AR CASIMIRO MONTENEGRO FILHO ESCOLA,1,VILA DAS ACACIAS,193.0
LUCIA MARIA DO AMARAL PROFESSORA EMEI,3,JARDIM SANTA LUZIA,442.0
JARDIM DOS SONHOS CENTRO DE EDUCACAO INFANTIL,4,CIDADE MORUMBI,26.0
ANGELICA BABY BERCARIO E EDUCACAO INFANTIL,4,PARQUE INDUSTRIAL,24.0
PETUTTY EDUCACAO INFANTIL,4,JARDIM PAULISTA,19.0
ALPHA LUMEN INSTITUTO,4,JARDIM ESPLANADA II,24.0
MAPLE BEAR CANADIAN SCHOOL SJCAMPOS,4,URBANOVA,110.0
